"""法令で規定されている用語の定義及び事業の届出に関する次の記述のうち、誤っているものはいくつあるか。 


「ガス事業」とは、ガス小売事業、一般ガス導管事業、託送供給事業及びガス製造事業をいう。 

「小売供給」とは、一般の需要に応じ導管によりガスを供給すること(特定ガス発生設備においてガスを発生させ、導管によりこれを供給するものにあっては 一の団地内におけるガスの供給地点の数が70以上のものに限る。)をいう。 

「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が35°C以下である液化ガスをいう。 

メタンを主成分とする13Aのガスグループに属するガスを供給する導管であって、内径が200mm未満であり、かつ、ガスの圧力が0.5MPa以上5MPa未満の導管であって、製造所等の構外における総延長が15kmを超えるものは、「特定導管」である。 

ガス製造事業を営もうとする者は、経済産業省令で定めるところにより、ガス発生設備及びガスホルダーにあっては、これらの設置の場所、種類及び能力別の数を、経済産業大臣に届け出なければならない。 """,1,2,3,4,5,,,,,1,[img:/static/explain/kr3/kR3h1.jpg]
"""法令で規定されている一般ガス導管事業者及びガス製造事業者の業務に関する次の記述のうち、正しいものはいくつあるか。 


一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、託送供給約款を定め、経済産業大臣に届け出なければならない。 

一般ガス導管事業者が定める託送供給約款においては、託送供給を行うことができるガスの熱量等の範囲、組成その他のガスの受入条件に関する事項を定めなければならない。 

一般ガス導管事業者は、正当な理由がなければ、最終保障供給を拒んではならない。 

ガス製造事業者は、毎年度、ガスの製造並びにガス工作物の設置及び運用について供給計画を作成し、当該年度の開始前に、経済産業大臣に届け出なければならない。 

ガス製造事業者は、その製造するガスの圧力にあっては、常時、製造所の出口及び経済産業大臣が指定する場所において、圧力値を自動的に記録する圧力計を使用して測定しなければならない。"" ",1,2,3,4,5,,,,,2,[img:/static/explain/kr3/kR3h2.jpg]
"""法令で規定されている保安規程に関する次の記述について、(イ)〜(ホ)の語句のうち、誤っているものはいくつあるか。 


一般ガス導管事業者は、「(イ) 保安業務の適正な実施を確保するため、」 保安規程を定め、事業の「(ロ) 開始前」　に、経済産業大臣に届け出なければならない。 
また、一般ガス導管事業者は、保安規程を変更したときは、「(ハ) 遅滞なく」 変更した事項を経済産業大臣に届け出なければならない。 
経済産業大臣は、一般ガス導管事業の用に供するガス工作物に関する保安を確保するため必要があると認めるときは、 一般ガス導管事業者に対し、「(二) その使用を一時停止すべきこと」 を命ずることができる。 
「(ホ)一般ガス導管事業者及びその従業者」 は、保安規程を守らなければならない。 """,1,2,3,4,5,,,,,2,[img:/static/explain/kr3/kR3h3.jpg]
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されているものはいくつあるか。
ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。 


ガス工作物 (ガス栓を除く。)の操作により人が死亡した事故 

ガスの供給に支障を及ぼした事故であって、供給支障戸数が500以上のもの 

工事中のガス工作物(ガス栓を除く。)の損壊により人が負傷した事故 

ガス工作物(ガス栓を除く。)の損壊により、一般公衆に対し、交通の困難を招来した事故 

ガス栓の欠陥によりガス栓から漏えいしたガスに引火することにより、発生した物損事故 """,1,2,3,4,5,,,,,4,[img:/static/explain/kr3/kR3h4.jpg]
"""法令で規定されているガス主任技術者の選任及び解任に関する次の記述について、(イ)〜(ホ)の語句のうち、正しいものはいくつあるか。 


ガス小売事業者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けている者であって、経済産業省令で定める実務の経験を有するもののうちから、ガス主任技術者を選任しなければならない。 

経済産業省令で定める実務の経験は、「(イ) 甲」 種ガス主任技術者免状の交付を受けてい る者にあっては製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に「(口) 通算」 して「(ハ) 1年」 以上従事したこととし、当該経験と同等以上の実務の経験であると「(ニ) 経済産業大臣」 が認定した経験をもって代えることができる。 

経済産業大臣は、ガス主任技術者がガス事業法に違反したときは、「(ホ) ガス小売事業者に対し、ガス主任技術者の解任を命ずる」 ことができる。 """,1,2,3,4,5,,,,,5,[img:/static/explain/kr3/kR3h5.jpg]
"""法令で規定されている工事計画及び使用前検査に関する次の記述のうち、誤っているものはいくつあるか。 


ガス製造事業者は、ガス製造事業の用に供するガス工作物の設置又は変更の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業大臣に届け出なければならない。ただし、災害その他非常の場合において、やむを得ない一時的 な工事としてするときは、この限りでない。

工事計画の届出をしたガス製造事業者は、その届出を提出した日から30日を経過した後でなければ、その届出に係る工事を開始してはならない。 

工事計画の届出をしたガス製造事業者は、その工事をするガス工作物であって、経済産業省令で定めるものの工事について完成検査を行い、その結果について登録ガス工作物検査機関が行う検査を受け、これに合格した後でなければ、これを使用してはならない。 

製造所の変更の工事(特定製造所に係るものを除く。)のうち、20%以上の能力の変更を伴うガス発生器の改造であって、変更後の最高使用圧力が高圧となるものは、工事計画を経済産業大臣に届け出なければならない。 

供給所の変更の工事のうち、最高使用圧力の変更を伴う整圧器の改造工事であって、変更後の最高使用圧力が高圧となるものは、工事計画を経済産業大臣に届け出なければならない。 """,1,2,3,4,5,,,,,2,[img:/static/explain/kr3/kR3h6.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。ただし、ハ、ニ及びホのガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。 


整圧器(一の使用者にガスを供給するためのものを除く。)は、公衆がみだりに操作しないよう、適切な措置を講じなければならない。 

製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。 

製造所に設置するガス若しくは液化ガスを通ずるガス工作物には、その規模に応じて、適切な防消火設備を適切な箇所に設けなければならない。 

ガス又は液化ガスを通ずるガス工作物を設置する室(製造所及び供給所に存するものに限る。)は、これらのガス又は液化ガスが漏えいしたとき室外に流出しない構造でなければならない。 

ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分は、ガス又は液化ガスを安全に放出できる構造でなければならない。 """,1,2,3,4,5,,,,,3,[img:/static/explain/kr3/kR3h7.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。 


ガス栓の主要材料は、最高使用温度及び最低使用温度において材料に及ぼす化学的及び物理的影響に対し、設備の種類、規模に応じて安全な機械的性質を有するものでなければならない。 

ガスホルダーの構造は、供用中の荷重並びに最高使用温度及び最低使用温度における最高使用圧力に対し、設備の種類、規模に応じて適切な構造でなければならない。 

昇圧供給装置は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。 

ガス工作物のガス又は液化ガスを通ずる部分であって、内面に零Paを超える圧力を受ける部分の溶接された部分は、溶込みが十分で、溶接による割れ等で有害な欠陥がなく、かつ、設計上要求される強度以上の強度でなければならない。 

最高使用圧力が0.3MPa以上で、内径が150mm以上の中圧の導管を溶接する場合は、適切な機械試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。"" ",1,2,3,4,5,,,,,4,[img:/static/explain/kr3/kR3h8.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはいくつあるか。 


最高使用圧力が高圧のガス発生設備であって、過圧が生ずるおそれのあるものには、その圧力を逃がすために適切なインターロック機構を設けなければならない。 

製造所、供給所又は移動式ガス発生設備に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。 

移動式ガス発生設備には、ガス又は液化ガスを通ずる設備の損傷に至るおそれのある状態を検知し警報する適切な装置を設けなければならない。 

ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。 

最高使用圧力が高圧のガスホルダーは、受けるおそれのある熱に対し十分に耐えるものとし、又は適切な圧力上昇防止装置を設置しなければならない。"" ",1,2,3,4,5,,,,,3,[img:/static/explain/kr3/kR3h9.jpg]
"""技術基準で規定されているガス発生設備等に関する次の記述のうち、誤っているものはいくつあるか。 


ガス(不活性のガスを除く。)を発生させる設備(特定ガス発生設備及び移動式ガス発生設備を除く。)は、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスの発生を停止し、又は迅速かつ安全にガスを処理することができるものでなければならない。 

温水で加熱する構造の気化装置であって、加熱部の温水が流出するおそれのあるものには、これを防止する措置を講じなければならない。 

移動式ガス発生設備には、容器の腐食及び転倒並びに容器のバルブの損傷を防止する適切な措置を講じなければならない。 

特定ガス発生設備の容器又は容器の設置場所には、容器内の圧力が異常に上昇しないよう適切な温度に維持できる適切な措置を講じなければならない。 

最高使用圧力が低圧のガス発生設備 (特定ガス発生設備並びに移動式ガス発生設備及び液化ガスを通ずるものを除く。)であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。"" ",1,2,3,4,5,,,,,1,[img:/static/explain/kr3/kR3h10.jpg]
