"""法令で規定されている用語の定義等に関する次の記述のうち、正しいものはいくつあるか。 


「小売供給」とは、一般の需要に応じ導管によりガスを供給すること(特定ガス発生設備においてガスを発生させ、導管によりこれを供給するものにあっては、一の団地内におけ るガスの供給地点の数が70未満のものに限る。)をいう。 

「ガス工作物」とは、ガスの供給のために施設するガス発生設備、ガスホルダー、ガス精 製設備、排送機、圧送機、整圧器、導管、受電設備その他の工作物及びこれらの附属設備であって、ガス事業の用に供するものをいう。 

「熱量」とは、標準状態の乾燥したガス22.4L中で測定される総熱量をいう。 

「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が40°C以下である液化ガスをいう。 

高圧ガス保安法中高圧ガスの製造又は販売の事業及び高圧ガスの製造又は販売のための施設に関する規定は、ガス事業及びガス工作物についても、適用しなければならない。""",1,2,3,4,5,,,,,1,[img:/static/explain//kr7/r7kh1.jpg]
"""法令で規定されている一般ガス導管事業者、特定ガス導管事業者の業務に関する次の記述のうち、誤っているものはいくつあるか。 


一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、経済産業省令で定めるところにより、託送供給約款を定め、 経済産業大臣に届け出なければならない。 

一般ガス導管事業者は、共同して、経済産業省令で定めるところにより、災害その他の事由による事故によりガスの安定供給の確保に支障が生ずる場合に備えるための災害時連携計画を作成し、経済産業大臣に届け出なければならない。 

一般ガス導管事業者は、経済産業省令で定めるところにより、その最終保障供給に係る ガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その結果を経済産業大臣に報告しなければならない。 

特定ガス導管事業者は、正当な理由がなければ、その供給地点における最終保障供給を拒んではならない。 

特定ガス導管事業者は、 経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を経済産業大臣に報告しなければならない。 """,1,2,3,4,5,,,,,4,[img:/static/explain//kr7/r7kh2.jpg]
"""法令で規定されているガス工作物及び保安規程に関する次の記述のうち、正しいものはいくつあるか。 


一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物を経済産業省令で定める技術上の基準に適合するように維持しなければならない。 

経済産業大臣は、災害の発生の防止のため緊急の必要があると認めるときは、一般ガス導管事業者に対し、そのガス工作物を移転し、若しくはその使用を一時停止すべきことを命じ、若しくはその使用を制限し、又はそのガス工作物内におけるガスを廃棄すべきことを命ずることができる。 

一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安を確保するため、経済産業省令で定めるところにより、保安規程を定め、事業の開始前に、経済産業大臣の許可を受けなければならない。 

保安規程には、ガス主任技術者が旅行、疾病その他事故によってその職務を行うことができない場合に、その職務を代行する者に関することを定めなければならない。 

保安規程には、導管の工事現場の作業員の条件その他導管の工事現場における保安監督体制に関することを定めなければならない。 """,1,2,3,4,5,,,,,3,[img:/static/explain//kr7/r7kh3.jpg]
"""法令で規定されているガス事故の報告について、誤っているものはいくつあるか。
ただし、口からホのガス事故は、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものではない。 

毎年のガス事故の報告書は、当該年の翌年3月末日までに提出しなければならない。 

ガス事故速報は、事故が発生した時から48時間以内可能な限り速やかに報告しなければならない。 

供給支障事故であって、供給支障戸数が20のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならな 

製造支障事故であって、 製造支障時間が5時間のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならない。 

消費機器から漏えいしたガスに引火することにより、 発生した物損事故 (消費機器が損傷した事故であって、人が死亡せず、又は負傷しないものに限る。)は、ガス事故速報及びガス事故詳報の両方を報告しなければならない。""",1,2,3,4,5,,,,,5,[img:/static/explain//kr7/r7kh4.jpg]
"""法令で規定されているガス主任技術者と立入検査に関する次の記述のうち、正しいものはいくつあるか。 


一般ガス導管事業者は、 ガスホルダーを有する供給所及び導管を管理する事業場におけるガス主任技術者の選任については、選任に係る事業場に駐在しない者をガス主任技術者に選任し、又はガス主任技術者に2以上の事業場のガス主任技術者を兼ねさせてはならない。ただし、経済産業大臣又は産業保安監督部長の承認を受けた場合には、この限りでない。 

ガス主任技術者免状は、ガス主任技術者試験に合格した者又はその者と同等以上の知識及び技能を有していると経済産業大臣が認定した者でなければ、その交付を受けることができない。 

ガス主任技術者試験は、毎年1回ガス主任技術者免状の種類ごとに、経済産業大臣が行う。 

経済産業大臣は、ガス主任技術者にその職務を行わせることが一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安に支障を及ぼすと認めるときは、一般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。 

経済産業大臣は、ガス事業法の施行に必要な限度において、登録ガス工作物検査機関に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿、書類その他の物件を検査させることができる。""",1,2,3,4,5,,,,,4,[img:/static/explain//kr7/r7kh5.jpg]
"""法令で規定されている認定高度保安実施一般ガス導管事業者に関する次の記述のうち、正しいものはいくつあるか。 

認定高度保安実施一般ガス導管事業者の認定は、7年ごとに更新を受けなければ、その期間の経過によって、その効力を失う。 

認定高度保安実施一般ガス導管事業者は、保安の確保のための組織又は保安の確保の方法に変更があったときは、遅滞なく、その旨を経済産業大臣に届け出なければならない。 

認定高度保安実施一般ガス導管事業者は、ガス主任技術者の選任又はその解任については、経済産業大臣への届出を要しない。この場合においては、経済産業省令で定めるところにより、当該選任又は解任に係る記録を作成し、これを保存しなければならない。 

認定高度保安実施一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の設置又は変更の工事(公害の防止上重要なものとして経済産業省令で定めるものを除く。)をしようとするときは、 経済産業大臣への工事計画の届出を要しない。この場合においては、当該工事の完成後14日以内に、その旨を経済産業大臣に届け出なければならない。 

認定高度保安実施一般ガス導管事業者は、工事計画の対象となるガス工作物について、経済産業省令で定めるところによる自主検査を行わずに当該ガス工作物を使用することができる。""",1,2,3,4,5,,,,,3,[img:/static/explain//kr7/r7kh6.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。 


製造所には、構内に公衆がみだりに立ち入らないよう、適切な措置を講じなければなら ない。ただし、周囲の状況により公衆が立ち入るおそれがない場合は、この限りでない。 

製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な 通信を確保するため、適切な通信設備を設けなければならない。 

造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、 安全に放出する設備を設けなければならない。 

製造所に設置するガス若しくは液化ガスを通ずるガス工作物の付近に設置する電気設備は、その設置場所の状況及び当該ガス又は液化ガスの種類に応じた防爆性能を有するものでなければならない。 

ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分(不活性のガス又は不活性の液化ガスのみを通ずるものを除く。)は、ガス又は液化ガスを安全に置換できる構造でなければならない。"" ",1,2,3,4,5,,,,,4,[img:/static/explain//kr7/r7kh7.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはいくつあるか。 


附帯設備であって製造設備に属する液化ガス用貯槽の主要材料は、最高使用温度及び最低使用温度において材料に及ぼす化学的及び物理的影響に対し、設備の種類、規模に応じて安全な機械的性質を有するものでなければならない。 

導管の構造は、供用中の最大流量並びに最高使用温度及び最低使用温度における最高使用圧力に対し、設備の種類、規模に応じて適切な構造でなければならない。 

延長が15mの最高使用圧力が高圧の導管(溶接により接合された導管ではない。)の耐圧部分は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。 

整圧器のガスを通ずる部分は、適切な方法により気密試験を行ったとき漏えいがないものでなければならない。ただし、最高使用圧力が０Pa以下のもの及び常時大気に開放されているものは、この限りでない。 

ガス工作物のガス又は液化ガスを通ずる部分であって、内面に0Paを超える圧力を受ける部分の溶接された部分は、溶込みが十分で、溶接による割れ等で有害な欠陥がなく、 かつ、設計上要求される強度以上の強度でなければならない。""",1,2,3,4,5,,,,,1,[img:/static/explain//kr7/r7kh8.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。 


ガス発生設備(移動式ガス発生設備を除く。)及び附帯設備であって製造設備に属するものには、ガス又は液化ガスを通ずる設備の損傷を防止するため使用の状態を計測又は確認できる適切な装置を設けなければならない。 

製造所、供給所又は移動式ガス発生設備に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。 

液化ガス用貯槽であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な安全弁を設けなければならない。この場合において、当該安全弁は、その作動時に安全弁から吹き出されるガスによる障害が生じないように施設しなければならない。 

液化ガス用貯槽(埋設された液化ガス用貯槽にあっては、その埋設された部分を除く。)は、当該設備が受けるおそれのある熱に対し十分に耐えるものとし、又は適切な圧力上昇防止装置を設置しなければならない。ただし不活性の液化ガス用貯槽にあって、可燃性の液化ガス用貯槽の周辺にないものは、この限りではない。 

液化ガス用貯槽(不活性の液化ガス用のものを除く。)の露出された部分には、設置された状況により腐食を生ずるおそれがある場合には、当該設備の腐食を防止するための適切な措置を講じなければならない。""",1,2,3,4,5,,,,,3,[img:/static/explain//kr7/r7kh9.jpg]
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。 


最高使用圧力が低圧のガス発生設備(特定ガス発生設備並びに移動式ガス発生設備及び液化ガスを通ずるものを除く。)であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。 

移動式ガス発生設備には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスを処理することができる装置を設けなければならない。 

ガスの通ずる部分に直接液体又は気体を送入する装置を有する製造設備(移動式ガス発生設備を含む。)は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。 

液化ガス(不活性のものを除く。)を気化する装置は、温水で加熱する構造のものであってはならない。 

特定ガス発生設備 (容器に附属する気化装置内においてガスを発生させるものを除く。)の集合装置の部分には一の系統の容器から発生するガスの圧力が供給に支障のある圧力以下に低下した場合、自動的にガスを遮断する装置を設けること。 """,1,2,3,4,5,,,,,2,[img:/static/explain//kr7/r7kh10.jpg]
