問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""法令で規定されている用語の定義及び事業の届出に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　「ガス事業」とは、ガス小売事業、一般ガス導管事業、託送供給事業及びガス製造事業をいう。

ロ　「小売供給」とは、一般の需要に応じ導管によりガスを供給すること(特定ガス発生設備においてガスを発生させ、導管によりこれを供給するものにあっては、一の団地内におけるガスの供給地点の数が70以上のものに限る。)をいう。

ハ    「液化ガス」とは、常用の温度において、圧力が0.1MPa以上となる液化ガスであって、現にその圧力が0.1MPa以上であるもの又は圧力が0.1MPaとなる場合の温度35℃以下である液化ガスをいう。

ニ　メタンを主成分とする13Aのガスグループに属するガスを供給する導管であって、内径が200mm未満であり、かつ、ガスの圧力が0.5MPa以上5MPa未満の導管であって、製造所等の構外における総延長が15kmを超えるものは、「特定導管」である。

ホ　ガス製造事業を営もうとする者は、経済産業省令で定めるところにより、ガス発生設備及びガスホルダーにあっては、これらの設置の場所、種類及び能力別の数を、経済産業大臣に届け出なければならない。""",イ、ロ,イ、ハ,ロ、ニ,ハ、ホ,ニ、ホ,,,,,イ、ハ
"""法令で規定されている一般ガス導管事業者及びガス製造事業者の業務に関する次の記述のち、正しいものはいくつあるか。

イ　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、託送供給約款を定め、経済産業大臣に届け出なければならない。

ロ　一般ガス導管事業者が定める託送供給約款においては、託送供給を行うことができるガスの熱量等の範囲、 組成その他のガスの受入条件に関する事項を定めなければならない。

ハ　一般ガス導管事業者は、正当な理由がなければ、最終保障供給を拒んではならない。

ニ　ガス製造事業者は、毎年度、 ガスの製造並びにガス工作物の設置及び運用について供給計画を作成し、当該年度の開始前に、経済産業大臣に届け出なければならない。

ホ　ガス製造事業者は、その製造するガスの圧力にあっては、常時、製造所の出口及び経済産業大臣が指定する場所において、圧力値を自動的に記録する圧力計を使用して測定しなければならない。""",1,2,3,4,5,,,,,2
"""法令で規定されている保安規程に関する次の記述について、（イ）～（ホ）語句のうち、いずれも誤っているものの組合せはどれか。

一般ガス導管事業者は、「(イ) 保安業務の適正な実施を確保するため」、保安規程を定め、事業の「(ロ) 開始前」に、経済産業大臣に届け出なければならない。 

また、一般ガス導管事業者は、保安規程を変更したときは、「(ハ) 遅滞なく」  変更した事項を経済産業大臣に届け出なければならない。 
経済産業大臣は、一般ガス導管事業の用に供するガス工作物に関する保安を確保するため必要があると認めるときは、一般ガス導管事業者に対し、「 (ニ) その使用を一時停止すべきこと」を命ずることができる。 

「 (ホ) 一般ガス導管事業者及びその従業者」は、保安規程を守らなければならない。 """,イ、ハ,イ、ニ,ロ、ハ,ロ、ホ,ニ、ホ,,,,,イ、ニ
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されていないものはどれか。
ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。""",ガス工作物（ガス栓を除く。）の操作により人が死亡した事故,ガスの供給に支障を及ぼした事故であって、供給支障戸数500以上のもの,工事中のガス工作物（ガス栓を除く。）の損壊により人が負傷した事故,ガス工作物（ガス栓を除く。）の損壊により、一般公衆に対し、交通の困難を招来した事故,ガス栓の欠陥によりガス栓から漏えいしたガスに引火することにより、発生した物損事故,,,,,ガス工作物（ガス栓を除く。）の損壊により、一般公衆に対し、交通の困難を招来した事故
"""法令で規定されているガス主任技術者の選任及び解任に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

ガス小売事業者は、経済産業省令で定めるところにより、ガス主任技術者免状の交付を受けている者であって、経済産業省令で定める実務の経験を有するもののうちから、ガス主任技術者を選任しなければならない。 

経済産業省令で定める実務の経験は、 (イ)  種ガス主任技術者免状の交付を受けている者にあっては製造又は供給の用に供するガス工作物の工事、維持又は運用に関する業務に  (ロ)  して (ハ) 以上従事したこととし、当該経験と同等以上の実務の経験である  (ニ)  が認定した経験をもって代えることができる。

経済産業大臣は、ガス主任技術者がガス事業法に違反したときは、 (ホ)  ことができる。"" ",（イ）甲又は乙  （ロ）通算  （ハ）6ヶ月  （ニ）登録ガス工作物検査機関  （ホ）ガス主任技術者を解任する,（イ）甲        （ロ）通算  （ハ）1年   （ニ）登録ガス工作物検査機関  （ホ）ガス小売事業者に対しガス主任技術者の解任を命ずる,（イ）甲又は乙  （ロ）連続  （ハ）1年   （ニ）登録ガス工作物検査機関  （ホ）ガス小売事業者に対しガス主任技術者の解任を命ずる,（イ）甲        （ロ）連続  （ハ）6ヵ月   （ニ）経済産業大臣          （ホ）ガス主任技術者を解任する,（イ）甲　　（ロ）通算 　　（ハ）９1年 　（ニ）経済産業大臣      （ホ）ガス小売事業者に対し、ガス主任技者の解任を命ずる,,,,,（イ）甲　　（ロ）通算 　　（ハ）９1年 　（ニ）経済産業大臣      （ホ）ガス小売事業者に対し、ガス主任技者の解任を命ずる
"""法令で規定されている工事計画及び使用前検査に関する次の記述について、(イ)～(ホ)の語句のうち、いずれも誤っているものの組合せはどれか。
 
ガス小売事業者は、ガス小売事業の用に供するガス工作物の「(イ) 設置又は変更」の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を「(ロ) 経済産業大臣」に届け出なければならない。

工事計画の届出をしたガス小売事業者は、その届出「(ハ)を提出した」日から30日を経過した後でなければ、その届出に係る工事を開始してはならない。

工事計画の届出をしたガス小売事業者は、その工事をするガス工作物であって、経済産業省令で定めるものの工事について「(ニ) 完成検査」を行い、その結果について「(ホ)登録ガス工作物検査機関」が行う検査を受け、これに合格した後でなければ、これを使用してはならない。ただし、経済産業省令で定める場合は、この限りでない。"" 
",イ、ロ,イ、ホ,ロ、ニ,ハ、ニ,ハ、ホ,,,,,ハ、ニ
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。ただし、ハ、ニ及びホのガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。
 
イ　整圧 器(一の使用者にガスを供給するためのものを除く。)は、公衆がみだりに操作しなよう、適切な措置を講じなければならない。

ロ　製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。

ハ　製造所に設置するガス若しくは液化ガスを通ずるガス工作物には、その規模に応じて、適切な防消火設備を適切な箇所に設けなければならない。

ニ　ガス又は液化ガスを通ずるガス工作物を設置する室(製造所及び供給所に存するものに限る。)は、これらのガス又は液化ガスが漏えいしたとき室外に流出しない構造でなければならない。

ホ　ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分は、ガス又は液化ガスを安全に放出できる構造でなければならない。""",1,2,3,4,5,,,,,3
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガス栓の主要材料は、最高使用温度及び最低使用温度において材料に及ぼす化学的及び物理的影響に対し、設備の種類、規模に応じて安全な機械的性質を有するものでなければならない。

ロ　液化ガス用ポンプは、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。 

ハ　液化ガスを通ずる配管の基礎の構造は、不等沈下等により当該ガス工作物に有害なひずみが生じないようなものでなければならない。 

ニ　ガス工作物のガス又は液化ガスを通ずる部分であって、内面に零Paを超える圧力を受ける部分の溶接された部分は、溶込みが十分で、溶接による割れ等で有害な欠陥がなく、かつ、設計上要求される強度以上の強度でなければならない。 

ホ　最高使用圧力が0.3MPa以上で、内径が150mm以上の中圧の導管を溶接する場合は、適切な機械試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。""",イ、ロ,イ、ホ,ロ、ハ,ハ、ニ,ニ、ホ,,,,,ロ、ハ
"""技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはいくつあるか。

イ　最高使用圧力が中圧のガス発生設備であって、過圧が生ずるおそれのあるものには、その圧力を逃がすために適切なインターロック機構を設けなければならない。

ロ　製造所、供給所又は移動式ガス発生設備に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。

ハ　移動式ガス発生設備には、ガス又は液化ガスを通ずる設備の損傷に至るおそれのある状態を検知し警報する適切な装置を設けなければならない。 

ニ　ガスホルダーのガスを送り出し、又は受け入れるために用いられる配管には、ガスが漏えいした場合の災害の発生を防止するため、ガスの流出及び流入を速やかに遮断することができる適切な装置を適切な箇所に設けなければならない。 

ホ　最高使用圧力が低圧のガスホルダーは、受けるおそれのある熱に対し十分に耐えるものとし、又は適切な冷却装置を設置しなければならない。""",1,2,3,4,5,,,,,3
技術基準で規定されているガス発生設備等に関する次の記述のうち、誤っているものはどれか。,温水で加熱する構造の気化装置であって、加熱部の温水が流出するおそれのあるものには、これを防止する措置を講じなければならない。,ガス(不活性のガスを除く。)を発生させる設備(特定ガス発生設備及び移動式ガス発生設備を除く。)は、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスの発生を停止し、又は迅速かつ安全にガスを処理することができるものでなければならない。,移動式ガス発生設備には、容器の腐食及び転倒並びに容器のバルブの損傷を防止する適切な措置を講じなければならない。,特定ガス発生設備の容器又は容器の設置場所には、容器内の圧力が異常に上昇しないよう適切な温度に維持できる適切な措置を講じなければならない。,最高使用圧力が低圧のガス発生設備(特定ガス発生設備並びに移動式ガス発生設備及び液化ガスを通ずるものを除く。)であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。,,,,,温水で加熱する構造の気化装置であって、加熱部の温水が流出するおそれのあるものには、これを防止する措置を講じなければならない。
"""技術基準で規定されているガス工作物に関する次の記述について、(1)～(5)の語句のうち、誤っているものはどれか。

告示で定める着脱が容易なガス栓は、内部に「(1) 過流出安全機構」を有するものでなければならない。

ガスの使用場所である超高層建物、高層建物又は特定大規模建物にガスを供給する導管には、危急の場合にガスを速やかに「(2) 遮断」することができる適切な装置を適切な場所に設けなければならない。

ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時「(3) 16」m3以下、使用最大圧力が4kPa以下及び口径250mm以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、「(4) 過大な」ガスの流量又は異常なガス圧力の「(5) 上昇」を検知した場合に、ガスを速やかに遮断する機能を有するものでなければならない。""",1,2,3,4,5,,,,,5
"""技術基準で規定されている道路に埋設されている導管からガス栓までの導管等の漏えい検査及び導管の設置場所に関する次の記述のうち、正しいものはいくつあるか。
ただし、ロ及びハについては、漏えい検査を行う区間に漏えい検知装置は設置されておらず、検査にあたって導管等が設置されている場所に立ち入ることができるものとする。

イ　適切な漏えい検知装置が適切な方法により設置されている場合は、設置の日以後4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。 

ロ　ポリエチレン管を使用している場合は、埋設の日以後4年に1回以上、適切な方法により検査を行い、漏えいが認められなかったものでなければならない。 

ハ　絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分については、漏えい検査を要しない。 

二　漏えい検査を、基準日前4月以内の期間に行った場合にあっては、基準日において当該検査を行ったものとみなす。 

ホ　特定地下室等にガスを供給する導管は、適切な方法により設置された適切なガス漏れ警報設備の検知区域において、当該特定地下室等の外壁を貫通するように設置しなければならない。""",1,2,3,4,5,,,,,2
"""技術基準で規定されている導管及び整圧器に関する次の記述のうち、正しいものはいくつあか。

イ　ガス事業者の掘削により周囲が露出することとなった導管の露出している部分の両端は、地くずれのおそれがない地中に支持されていなければならない。 

ロ　ガス事業者の掘削により周囲が露出することとなったガスの供給の用に供されている導管で、露出している管の接合部がフランジ接合のものには、抜出しを防止する適切な措置を講じなければならない。

ハ　最高使用圧力が高圧の整圧器には、ガスの漏えいによる火災等の発生を防止するための適切な措置を講じなければならない。 

ニ　整圧器の入口には、ガス遮断装置を設けなければならない。

ホ　整圧器の制御用配管、補助整圧器その他の附属設備は、地震に対し耐えるよう支持されていなければならない。""",1,2,3,4,5,,,,,4
"""法令で規定されているガス用品及び 「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述について、(イ)～(ホ)の語句のうち、いずれも誤っているものの組合せはどれか。

「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械、器具又は 「（イ) 部品」であって、政令で定めるものをいう。 

ガス用品の製造、輸入又は販売の事業を行う者は、経済産業省令で定める基準適合表示が付されているものでなければ、ガス用品を販売し、又は「(ロ) 販売の目的で陳列」してはならない。 

特定工事事業者は、特定工事を施工するときは、特定工事が「(ハ) ガス用品」の技術上の基準に適合することを確保するため、「(ニ) ガス消費機器設置工事監督者」の資格を有する者に実地に監督をさせなければならない。 

特定工事事業者は、特定工事を施工したときは、当該特定工事に係る特定ガス消費機器の見やすい場所に、氏名又は名称、「(ホ) 施工年月日」その他経済産業省令で定める事項を記載した表示を付さなければならない。""",イ、ハ,イ、ニ,ロ、ハ,ロ、ホ,ニ、ホ,,,,,イ、ハ
法令で規定されている消費機器に関する周知及び調査、保安業務規程に関する次の記述のうち、誤っているものはどれか。,ガス小売事業者は、消費機器を使用する者に対し、当該ガス小売事業者が供給するガスの使用に伴う危険の発生の防止に関し必要な事項を周知させなければならない。,ガス小売事業者は、その供給するガスに係る消費機器が経済産業省令で定める技術上の基準に適合しているかどうかを調査しなければならない。ただし、その消費機器を設置し、又は使用する場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができないときは、この限りでない。,経済産業大臣は、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、その所有者又は占有者に対し、その使用を一時停止すべきことを命ずることができる。,ガス小売事業者は、保安業務規程に保安業務を管理する事業場ごとの保安業務監督者の選任に関することを定めなければならない。 ,ガス小売事業者は、保安業務規程に保安業務に従事する者に対する保安に係る教育及び訓練に関することを定めなければならない。 ,,,,,経済産業大臣は、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、その所有者又は占有者に対し、その使用を一時停止すべきことを命ずることができる。
