問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
法令で規定されている用語の定義等に関する次の記述のうち、正しいものはどれか。,「小売供給」とは、一般の需要に応じ導管によりガスを供給すること(特定ガス発生設備 においてガスを発生させ、導管によりこれを供給するものにあっては、一の団地内におけ るガスの供給地点の数が70未満のものに限る。)をいう。,「ガス工作物」とは、ガスの供給のために施設するガス発生設備、ガスホルダー、ガス精 製設備、排送機、圧送機、整圧器、導管、受電設備その他の工作物及びこれらの附属設備であって、ガス事業の用に供するものをいう。,「熱量」とは、標準状態の乾燥したガス22.4L中で測定される総熱量をいう。,「液化ガス」とは、常用の温度において、圧力が0.2MPa以上となる液化ガスであって、現にその圧力が0.2MPa以上であるもの又は圧力が0.2MPaとなる場合の温度が40℃以下である液化ガスをいう。,"高圧ガス保安法中高圧ガスの製造又は販売の事業及び高圧ガスの製造又は販売のための施設に関する規定は、ガス事業及びガス工作物についても、適用しなければならない。
",,,,,「ガス工作物」とは、ガスの供給のために施設するガス発生設備、ガスホルダー、ガス精 製設備、排送機、圧送機、整圧器、導管、受電設備その他の工作物及びこれらの附属設備であって、ガス事業の用に供するものをいう。
"""法令で規定されている一般ガス導管事業者、 特定ガス導管事業者の業務に関する次の記述のうち、誤っているものはいくつあるか。

イ　一般ガス導管事業者は、その供給区域における託送供給に係る料金その他の供給条件について、経済産業省令で定めるところにより、託送供給約款を定め、経済産業大臣に届け出なければならない。

ロ　一般ガス導管事業者は、共同して、経済産業省令で定めるところにより、災害その他の事由による事故によりガスの安定供給の確保に支障が生ずる場合に備えるための災害時連携計画を作成し、経済産業大臣に届け出なければならない。

ハ　一般ガス導管事業者は、経済産業省令で定めるところにより、その最終保障供給に係るガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その結果を経済産業大臣に報告しなければならない。

ニ　特定ガス導管事業者は、正当な理由がなければ、その供給地点における最終保障供給を拒んではならない。

ホ　特定ガス導管事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を経済産業大臣に報告しなければならない。""",1,2,3,4,5,,,,,4
"""法令で規定されているガス工作物及び保安規程に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物を経済産業省令で定める技術上の基準に適合するように維持しなければならない。

ロ　経済産業大臣は、災害の発生の防止のため緊急の必要があると認めるときは、一般ガス 導管事業者に対し、そのガス工作物を移転し、若しくはその使用を一時停止すべきことを命じ、若しくはその使用を制限し、又はそのガス工作物内におけるガスを廃棄すべきことを命ずることができる。

ハ　一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安を確保するため、経済産業省令で定めるところにより、保安規程を定め、事業の開始前に、経済産業大臣の許可を受けなければならない。

ニ　保安規程には、ガス主任技術者が旅行、疾病その他事故によってその職務を行うことができない場合に、その職務を代行する者に関することを定めなければならない。

ホ　保安規程には、導管の工事現場の作業員の条件その他導管の工事現場における保安監督体制に関することを定めなければならない。""
",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""法令で規定されているガス事故の報告について、誤っているものはいくつあるか。ただし、口からホのガス事故は、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものではない。

イ　毎年のガス事故の報告書は、当該年の翌年3月末日までに提出しなければならない。

ロ　ガス事故速報は、事故が発生した時から48時間以内可能な限り速やかに報告しなければならない。

ハ　供給支障事故であって、供給支障戸数が20のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならない。

二　製造支障事故であって、製造支障時間が5時間のものは、ガス事故速報及びガス事故詳報の両方を報告しなければならない。

ホ　消費機器から漏えいしたガスに引火することにより、発生した物損事故(消費機器が損傷した事故であって、人が死亡せず、又は負傷しないものに限る。)は、ガス事故速報及びガス事故詳報の両方を報告しなければならない。""",1,2,3,4,5,,,,,5
法令で規定されているガス主任技術者と立入検査に関する次の記述のうち、誤っているものはどれか。,経済産業大臣は、ガス事業法に違反し、罰金以上の刑に処せられ、その執行を終わり、又は執行を受けることがなくなった日から2年を経過しない者に対しては、ガス主任技術者免状の交付を行わないことができる。,ガス主任技術者免状は、ガス主任技術者試験に合格した者又はその者と同等以上の知識及び技能を有していると経済産業大臣が認定した者でなければ、その交付を受けることができない。,ガス主任技術者試験は、毎年1回ガス主任技術者免状の種類ごとに、経済産業大臣が行う。,経済産業大臣は、ガス主任技術者にその職務を行わせることが一般ガス導管事業の用に供するガス工作物の工事、維持及び運用に関する保安に支障を及ぼすと認めるときは、般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。,経済産業大臣は、ガス事業法の施行に必要な限度において、登録ガス工作物検査機関に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿、書類その他の物件を検査させることができる。,,,,,経済産業大臣は、ガス事業法の施行に必要な限度において、登録ガス工作物検査機関に、ガス事業者の営業所、事務所その他の事業場に立ち入り、帳簿、書類その他の物件を検査させることができる。
"""法令で規定されている認定高度保安実施一般ガス導管事業者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　認定高度保安実施一般ガス導管事業者の認定は、7年ごとに更新を受けなければ、その期間の経過によって、その効力を失う。

ロ　認定高度保安実施一般ガス導管事業者は、保安の確保のための組織又は保安の確保の方法に変更があったときは、遅滞なく、その旨を経済産業大臣に届け出なければならない。

ハ　認定高度保安実施一般ガス導管事業者は、ガス主任技術者の選任又はその解任については、経済産業大臣への届出を要しない。この場合においては、経済産業省令で定めるところにより、当該選任又は解任に係る記録を作成し、これを保存しなければならない。

ニ　認定高度保安実施一般ガス導管事業者は、一般ガス導管事業の用に供するガス工作物の設置又は変更の工事(公害の防止上重要なものとして経済産業省令で定めるものを除く。)をしようとするときは、経済産業大臣への工事計画の届出を要しない。この場合においては、当該工事の完成後14日以内に、その旨を経済産業大臣に届け出なければならない。

ホ　認定高度保安実施一般ガス導管事業者は、工事計画の対象となるガス工作物について、経済産業省令で定めるところによる自主検査を行わずに当該ガス工作物を使用することができる。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,二、ホ
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。

イ　製造所には、構内に公衆がみだりに立ち入らないよう、適切な措置を講じなければならない。ただし、周囲の状況により公衆が立ち入るおそれがない場合は、この限りでない。

口　製造所(特定製造所を除く。)、供給所及び導管を管理する事業場には、緊急時に迅速な通信を確保するため、適切な通信設備を設けなければならない。

ハ　製造所には、ガス又は液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、安全に放出する設備を設けなければならない。

二　製造所に設置するガス若しくは液化ガスを通ずるガス工作物の付近に設置する電気設備は、その設置場所の状況及び当該ガス又は液化ガスの種類に応じた防爆性能を有するものでなければならない。

ホ　ガス発生設備及び附帯設備であって製造設備に属するもののガス又は液化ガスを通ずる部分(不活性のガス又は不活性の液化ガスのみを通ずるものを除く。)は、ガス又は液化ガスを安全に置換できる構造でなければならない。""",1,2,3,4,5,,,,,4
"""技術基準で規定されているガス工作物に関する次の記述について、(イ)〜(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

ガス栓の構造は、供用中の　(イ)　並びに最高使用温度及び最低使用温度における最高使用圧力に対し、設備の種類、規模に応じて適切な構造でなければならない。

ガス工作物のうち、耐圧部分及び液化ガスを通ずる部分は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。ただし、特定ガス発生設備に属する　(口)　は、この限りではない。

ガス工作物のうち、ガス又は液化ガスを通ずる部分は、適切な方法により気密試験を行ったとき漏えいがないものでなければならない。ただし、　(ハ)　は、この限りでない。

ガス工作物のガス又は液化ガスを通ずる部分であって、内面に　(二)　を超える圧力を受ける部分の溶接された部分は、溶込みが十分で、溶接による割れ等で有害な欠陥がなく、かつ、設計上要求される強度以上の強度でなければならない。

液化ガスを通ずる配管 (内径が150mm 以上のものに限る。)であって、液化ガスによる圧力を受ける部分を溶接する場合は、適切な　(ホ)　試験等により適切な溶接施工方法等であることをあらかじめ確認したものによらなければならない。""","(イ)　荷重　　(口)　調整裝置　　(ハ)　液化ガス用ポンプ　　(二)　0Pa　　(ホ)　機械
",(イ)　荷重　　(口)　集合裝置　　(ハ)　液化ガス用ポンプ　　(二)　0.2a　　(ホ)　耐圧,(イ)　荷重　　(口)　調整裝置　　(ハ)　整圧器　　(二)　0.2Pa　　(ホ)　機械,(イ)　最大流量　　(口)　集合裝置　　(ハ)　整圧器　　(二)　0Pa　　(ホ)　機械,(イ)　最大流量　　(口)　集合裝置　　(ハ)　液化ガス用ポンプ　　(二)　0.2Pa　　(ホ)　耐圧,,,,,"(イ)　荷重　　(口)　調整裝置　　(ハ)　液化ガス用ポンプ　　(二)　0Pa　　(ホ)　機械
"
"""技術基準で規定されているガス工作物に関する次の記述のうち、正しいものはいくつあるか。

イ　ガス発生設備 (移動式ガス発生設備を除く。)及び附帯設備であって製造設備に属するものには、ガス又は液化ガスを通ずる設備の損傷を防止するため使用の状態を計測又は確認できる適切な装置を設けなければならない。

口　製造所、供給所又は移動式ガス発生設備に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。

ハ　液化ガス用貯槽であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な安全弁を設けなければならない。この場合において、当該安全弁は、その作動時に安全弁から吹き出されるガスによる障害が生じないように施設しなければならない。

ニ　液化ガス用貯槽(埋設された液化ガス用貯槽にあっては、その埋設された部分を除く。)は、当該設備が受けるおそれのある熱に対し十分に耐えるものとし、又は適切な圧力上昇防止装置を設置しなければならない。ただし不活性の液化ガス用貯槽にあって、可燃性の液化ガス用貯槽の周辺にないものは、この限りではない。

ホ　液化ガス用貯槽(不活性の液化ガス用のものを除く。)の露出された部分には、設置された状況により腐食を生ずるおそれがある場合には、当該設備の腐食を防止するための適切な措置を講じなければならない。""",1,2,3,4,5,,,,,3
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　最高使用圧力が低圧のガス発生設備(特定ガス発生設備並びに移動式ガス発生設備及び液化ガスを通ずるものを除く。)であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。

ロ　移動式ガス発生設備には、使用中に生じた異常による災害の発生を防止するため、その異常が発生した場合に迅速かつ安全にガスを処理することができる装置を設けなければならない。

ハ　ガスの通ずる部分に直接液体又は気体を送入する装置を有する製造設備(移動式ガス発生設備を含む。)は、 送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

ニ　液化ガス(不活性のものを除く。)を気化する装置は、温水で加熱する構造のものであってはならない。

ホ　特定ガス発生設備(容器に附属する気化装置内においてガスを発生させるものを除く。)の集合装置の部分には一の系統の容器から発生するガスの圧力が供給に支障のある圧力以下に低下した場合、自動的にガスを遮断する装置を設けること。""",イ、ロ,イ、ハ,ロ、ホ,ハ、ニ,ニ、ホ,,,,,イ、ハ
"""技術基準で規定されているガス工作物に関する次の記述のうち、いずれも正しいものの組合せはどれか。

イ　告示で定める着脱が容易なガス栓は、内部に過流出安全機構を有するものでなければならない。

ロ　ガスの使用場所である超高層建物、高層建物、特定大規模建物、又は最高使用圧力が中圧の導管でガスを供給する建物にガスを供給する導管には、危急の場合にガスを速やかに遮断することができる適切な装置を適切な場所に設けなければならない。

ハ　ガスの使用場所である地下室、地下街、その他地下であってガスが充満するおそれのある場所(以下「地下室等」という。)にガスを供給する導管には、その地下室等の付近の適切な場所に、危急の場合に当該地下室等へのガスの供給を当該地下室等から速やかに遮断することができる適切な装置を設けなければならない。

ニ　導管(最高使用圧力が低圧の導管であって、内径が100mm 未満のものを除く。)であって、道路の路面に露出しているものは、車両の接触その他の衝撃により損傷を受けた場合に、ガスを速やかに遮断することができる適切な装置を適切な場所に設けなければならない。

ホ　ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎 時16㎥以下、使用最大圧力が4kPa以下及び口径250mm以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、過大なガスの流量、異常なガス圧力の低下又はガス中の水分を検知した場合に、 ガスを速やかに遮断する機能を有するものでなければならない。""",イ、ロ,イ、ニ,口、ホ,ハ、ニ,ハ、ホ,,,,,イ、ロ
